Check#,Date,Description,Amount,Type,Category
1669,3/15/2020,Comcast,122.64,debit,Entertainment
1705,5/15/2020,TechnoCompany,1730.77,credit,Paycheck
1725,6/19/2020,Lakeside_Market,27.03,debit,Gasoline
1775,9/15/2020,Comcast,122.64,debit,Entertainment
1748,7/31/2020,Hannaford,43.77,debit,Groceries
1781,9/25/2020,Fore_Street,54.55,debit,Dining
1713,6/1/2020,TechnoCompany,1730.77,credit,Paycheck
1658,2/22/2020,I_Tunes,31.42,debit,Music
1732,7/3/2020,Hannaford,67.19,debit,Groceries
1647,2/2/2020,CMP,166.70,debit,Utilities
1668,3/15/2020,Toyota_Financial,359.29,debit,Car_Loan
1840,12/30/2020,Hannaford,78.42,debit,Groceries
1754,8/14/2020,Lakeside_Market,26.10,debit,Gasoline
1760,8/15/2020,Boost_Mobile,40.00,debit,Phone
1753,8/7/2020,Hannaford,163.00,debit,Groceries
1739,7/15/2020,TechnoCompany,1730.77,credit,Paycheck
1719,6/15/2020,Toyota_Financial,359.29,debit,Car_Loan
1833,12/15/2020,Boost_Mobile,40.00,debit,Phone
1794,10/14/2020,CVS,28.41,debit,Meds
1652,2/15/2020,Toyota_Financial,359.29,debit,Car_Loan
1723,6/15/2020,FannyMae,369.56,debit,Student_Loan
1626,1/3/2020,Lakeside_Market,23.75,debit,Gasoline
1770,9/4/2020,Hannaford,40.71,debit,Groceries
1745,7/24/2020,Hannaford,82.26,debit,Groceries
1808,11/6/2020,Lakeside_Market,27.93,debit,Gasoline
1727,6/21/2020,I_Tunes,29.06,debit,Music
1660,2/28/2020,Hannaford,63.39,debit,Groceries
1687,4/15/2020,Toyota_Financial,359.29,debit,Car_Loan
1698,5/1/2020,Johnson_Property_Mgmt,1600.00,debit,Rent
1707,5/15/2020,FannyMae,369.56,debit,Student_Loan
1826,12/4/2020,Hannaford,65.73,debit,Groceries
1803,10/30/2020,Hannaford,42.38,debit,Groceries
1663,3/2/2020,CMP,168.30,debit,Utilities
1743,7/17/2020,Lakeside_Market,23.56,debit,Gasoline
1821,12/1/2020,Mr._Tuna,52.74,debit,Dining
1701,5/8/2020,Hannaford,66.75,debit,Groceries
1649,2/14/2020,Lakeside_Market,27.77,debit,Gasoline
1806,11/1/2020,Johnson_Property_Mgmt,1600.00,debit,Rent
1810,11/13/2020,Hannaford,40.17,debit,Groceries
1704,5/15/2020,Hannaford,65.23,debit,Groceries
1664,3/6/2020,Hannaford,82.87,debit,Groceries
1828,12/8/2020,I_Tunes,32.52,debit,Music
1728,6/26/2020,Hannaford,68.53,debit,Groceries
1782,9/25/2020,Lakeside_Market,27.78,debit,Gasoline
1815,11/15/2020,FannyMae,369.56,debit,Student_Loan
1838,12/24/2020,Lakeside_Market,26.69,debit,Gasoline
1759,8/15/2020,TechnoCompany,1730.77,credit,Paycheck
1829,12/11/2020,Hannaford,62.88,debit,Groceries
1699,5/3/2020,CMP,145.62,debit,Utilities
1696,5/1/2020,Hannaford,139.53,debit,Groceries
1799,10/15/2020,FannyMae,369.56,debit,Student_Loan
